task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e1/fb3c66	2409511	PRE_STAGE:PRE_STAGE_FILES	COMPLETED	0	2026-05-11 08:04:12.095	1h 6m 5s	1h 6m 5s	89.7%	18.5 MB	283 MB	109.6 GB	80.4 GB
2	1e/f67e4a	3130408	PARABRICKS_ANALYSIS:SAMTOOLS_FAIDX (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2026-05-11 09:10:17.451	9.5s	9.3s	99.6%	6.1 MB	10.6 MB	2.9 GB	11.5 KB
20	27/8487da	3130590	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435661)	COMPLETED	0	2026-05-11 09:10:17.555	15.3s	15s	100.1%	5 MB	7.1 MB	3.4 GB	412 B
10	53/800e25	3130658	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435647)	COMPLETED	0	2026-05-11 09:10:17.573	17.9s	17.6s	100.1%	4.9 MB	7.1 MB	3.8 GB	412 B
21	f2/2ba1a1	3130511	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435663)	COMPLETED	0	2026-05-11 09:10:17.527	18.8s	18.5s	100.0%	5 MB	7.1 MB	4.2 GB	412 B
17	61/0f0ea7	3130550	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435659)	COMPLETED	0	2026-05-11 09:10:17.547	21.9s	21.6s	100.0%	4.9 MB	7.1 MB	4.7 GB	412 B
14	9c/aa568c	3130523	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435654)	COMPLETED	0	2026-05-11 09:10:17.539	29.4s	29.2s	100.1%	5 MB	7.1 MB	6 GB	412 B
53	ca/8bd931	3130624	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435657)	COMPLETED	0	2026-05-11 09:10:17.565	36.3s	36s	100.1%	5 MB	7.1 MB	7.1 GB	412 B
59	09/bbd21d	3138962	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435660)	COMPLETED	0	2026-05-11 09:10:32.847	26.2s	25.9s	100.1%	5.1 MB	7.1 MB	3.6 GB	412 B
30	c4/32bf57	3141906	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435644)	COMPLETED	0	2026-05-11 09:10:39.471	26.8s	26.5s	100.1%	5 MB	7.1 MB	4.7 GB	412 B
6	32/f35111	3151583	READ_PROCESSING:TRIM_GALORE (ERR11435647)	COMPLETED	0	2026-05-11 09:11:06.276	2m 1s	2m 1s	356.5%	103.9 MB	492.1 MB	3.8 GB	6.6 GB
18	ec/b4fe07	3140626	READ_PROCESSING:FASTQC (ERR11435661)	COMPLETED	0	2026-05-11 09:10:36.297	3m 46s	3m 46s	189.4%	904.7 MB	4.3 GB	3.4 GB	4.1 MB
19	ad/09f98b	3136709	READ_PROCESSING:FASTQC (ERR11435663)	COMPLETED	0	2026-05-11 09:10:27.009	4m 44s	4m 44s	185.8%	904.9 MB	4.3 GB	4.2 GB	4.1 MB
8	0b/a19d29	3149327	READ_PROCESSING:FASTQC (ERR11435647)	COMPLETED	0	2026-05-11 09:10:59.040	4m 31s	4m 30s	184.2%	895.1 MB	4.4 GB	3.8 GB	4 MB
26	4e/9b30bd	3204195	READ_PROCESSING:TRIM_GALORE (ERR11435661)	COMPLETED	0	2026-05-11 09:14:22.567	1m 40s	1m 40s	343.7%	91.2 MB	542.2 MB	3.4 GB	5.8 GB
31	61/21b842	3147367	READ_PROCESSING:FASTQC (ERR11435643)	COMPLETED	0	2026-05-11 09:10:53.928	6m 16s	6m 15s	177.9%	878.7 MB	4.3 GB	5.1 GB	4 MB
5	67/e795a3	3144930	READ_PROCESSING:FASTQC (ERR11435646)	COMPLETED	0	2026-05-11 09:10:46.969	6m 26s	6m 26s	178.7%	879 MB	4.3 GB	5.3 GB	4 MB
27	29/58dbaf	3217272	READ_PROCESSING:TRIM_GALORE (ERR11435663)	COMPLETED	0	2026-05-11 09:15:11.159	2m 21s	2m 21s	315.0%	94.9 MB	491.1 MB	4.2 GB	7.1 GB
11	2b/9d58d9	3139985	READ_PROCESSING:FASTQC (ERR11435652)	COMPLETED	0	2026-05-11 09:10:35.465	7m 2s	7m 2s	183.0%	882.5 MB	4.3 GB	6.1 GB	4 MB
7	1d/a1473f	3249785	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435646)	COMPLETED	0	2026-05-11 09:17:09.540	46.5s	46s	93.0%	4.9 MB	7.1 MB	5.3 GB	411 B
22	4a/89af27	3256796	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435640)	COMPLETED	0	2026-05-11 09:17:32.055	30.7s	30.4s	98.6%	4.9 MB	7.1 MB	3.6 GB	411 B
38	63/0a3624	3231702	READ_PROCESSING:TRIM_GALORE (ERR11435649)	COMPLETED	0	2026-05-11 09:16:02.512	2m 39s	2m 38s	356.4%	90.1 MB	601.5 MB	5.2 GB	8.9 GB
